id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,bed_bath_sum,renovation_yes,sqft_living_plus_lot,sqft_living_plus_lot_15
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,,1955,,98178,47.5112,-122.257,1340,5650,4.0,0,6830,6990
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,5.25,1,9812,9329
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,,1933,,98028,47.7379,-122.23299999999999,2720,8062,3.0,0,10770,10782
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,,98136,47.5208,-122.39299999999999,1360,5000,7.0,0,6960,6360
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,,1987,,98074,47.6168,-122.045,1800,7503,5.0,0,9760,9303
7237550310,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,,98053,47.6561,-122.005,4760,101930,8.5,0,107350,106690
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,,1995,,98003,47.3097,-122.32700000000001,2238,6819,5.25,0,8534,9057
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,,1963,,98198,47.4095,-122.315,1650,9711,4.5,0,10771,11361
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,,98146,47.5123,-122.337,1780,8113,4.0,0,9250,9893
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,,2003,,98038,47.3684,-122.031,2390,7570,5.5,0,8450,9960
1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,1965,,98007,47.6007,-122.145,2210,8925,5.5,0,13356,11135
